Latitude,Longitude
18.9182068,72.82466784
18.90743333,72.80934722
18.95140833,72.83907778
18.947675,72.82577222
18.95852969,72.82439548
18.97121786,72.81615551
18.96568903,72.82384359
18.96336932,72.82348913
18.97535,72.81226111
18.97920903,72.8274064
18.96552989,72.82531287
18.96971264,72.84194449
18.96102938,72.82614395
18.9628063,72.8318085
18.97393777,72.82710467
18.97133056,72.82773889
18.97418333,72.84828611
19.02296329,72.87073740000001
19.02804452,72.87339361
19.0276777,72.87024559999999
19.02245524,72.87035876
19.01594202,72.86459744
19.02640833,72.861325
19.00588496,72.85492723
19.00550336,72.85497499
19.04169197,72.85052482
19.04769038,72.85787175
19.0392674,72.85491354
19.04372482,72.85004248
19.0414773,72.84845370000001
19.01798718,72.81980024
19.00519848,72.82053659
19.00195741,72.81694837
19.00170975,72.81849399
19.018673800000002,72.81916851
19.00100493,72.81754334
19.01835716,72.81840243
19.01796199,72.81869763
19.01787524,72.81815677
19.01939522,72.81872935
19.01952039,72.81786932
19.01901216,72.81788612
19.0097346,72.8255543
19.02163552,72.8181281
19.0185886,72.81882490000001
19.01747046,72.82026523
19.01751015,72.82032886
19.01728558,72.82028874
19.01848537,72.81933248
18.99259722,72.81860269
18.99275573,72.81922314
18.99230949,72.81832996
18.99288364,72.81993259999999
19.02170972,72.81807287
19.02170022,72.81808055
19.01436389,72.82412778
18.99245833,72.8187
19.02148611,72.81738611
19.01710833,72.81858333
19.00593056,72.82127222
19.08031071,72.85698822
19.07834762,72.84564795
19.05573488,72.84233839
19.05833659,72.84446534
19.077064399999998,72.84410425
19.0625358,72.85837049
19.07747606,72.84585164
19.05712213,72.84257841
19.06255622,72.84389300000001
19.0796345,72.84805044
19.07444236,72.84233563
19.0567414,72.84165109999999
19.08701255,72.84541242
19.0650798,72.85657690000001
19.0815407,72.85412495
19.05678056,72.84175
19.067725,72.8456
19.06313056,72.85412222
19.0568,72.84181944
19.07751944,72.84454722
19.13369227,72.85877407
19.1391437,72.85325871
19.13219749,72.85625581
19.10794573,72.8589178
19.13351105,72.85791979999999
19.12680648,72.84890382
19.0912396,72.8461938
19.10444257,72.85880169
19.11613889,72.84025
19.15121944,72.83562778
19.141975,72.83720278
19.10269167,72.83460278
19.14083695,72.86139946
19.121833600000002,72.84127775
19.11812737,72.82231329999999
19.14441114,72.80577016
19.095748899999997,72.8372886
19.115666600000004,72.83984709999999
19.1115408,72.86801624
19.10459847,72.83969093
19.1481828,72.8382859
19.144766600000004,72.8395335
19.13105278,72.84134722
19.0956354,72.89471326
19.06877324,72.87925966
19.08654118,72.88280618
19.06855085,72.87485988
19.07143306,72.88044628
19.1023426,72.88829659999999
19.09348056,72.88287778
19.10352222,72.889425
19.09174266,72.88225257
19.09737942,72.89193117
19.08965556,72.88833889
19.08385785,72.88869311
19.06750399,72.92123974
19.06481929,72.92377942
19.060979,72.925627
19.063805,72.9230972
19.0646147,72.92438059999999
19.05693989,72.91423245
19.06243539,72.90668144
19.03067655,72.89648767
19.046784,72.8954122
19.03116877,72.89623194
19.04438665,72.88954492
19.06033685,72.8845479
19.061279199999998,72.9081843
19.0518025,72.8866238
19.058625,72.89171944
19.09547256,72.90107516
19.09761839,72.90351675
19.10437497,72.91610808
19.0959197,72.90551690000001
19.0996853,72.9028937
19.07452553,72.91376148
19.099273699999998,72.91670992
19.072405399999997,72.91409200000001
19.09033371,72.8989595
19.08792222,72.89837778
19.18841267,72.84977677
19.14302763,72.79245803
